0,1
C:\Users\yash chaudhary\Desktop\flipkart\my_dataset\my_dataset\1.jpg,"[-0.00206453  0.00689838 -0.00117102 ... -0.00123672  0.03918217
 -0.00160552]"
C:\Users\yash chaudhary\Desktop\flipkart\my_dataset\my_dataset\10.jpg,"[-0.03234031 -0.02133231 -0.01925051 ... -0.01221784  0.0156731
 -0.01458099]"
C:\Users\yash chaudhary\Desktop\flipkart\my_dataset\my_dataset\11.jpg,"[-0.03911558 -0.02534119 -0.02402238 ... -0.01276894 -0.01452236
 -0.00153792]"
C:\Users\yash chaudhary\Desktop\flipkart\my_dataset\my_dataset\12.jpg,"[-0.03883116 -0.02258782 -0.02447604 ... -0.01609791  0.01701623
 -0.00459547]"
C:\Users\yash chaudhary\Desktop\flipkart\my_dataset\my_dataset\13.jpeg,"[ 0.01269294  0.06244433  0.01010934 ...  0.01041841  0.03147383
 -0.00241111]"
C:\Users\yash chaudhary\Desktop\flipkart\my_dataset\my_dataset\15.jpeg,"[-0.03111043 -0.02965772 -0.01412443 ... -0.00917363  0.00833032
 -0.01397693]"
C:\Users\yash chaudhary\Desktop\flipkart\my_dataset\my_dataset\16.jpeg,"[-0.00455858  0.00587489 -0.00047682 ... -0.0010439   0.04101526
 -0.00223107]"
C:\Users\yash chaudhary\Desktop\flipkart\my_dataset\my_dataset\18.jpeg,"[-0.03980104 -0.0247779  -0.02548797 ... -0.0151255  -0.01142019
 -0.00214404]"
C:\Users\yash chaudhary\Desktop\flipkart\my_dataset\my_dataset\19.jpeg,"[-0.00114965  0.01021902 -0.00076346 ... -0.00091279  0.03984119
 -0.00103638]"
C:\Users\yash chaudhary\Desktop\flipkart\my_dataset\my_dataset\2.jpg,"[-0.00089727  0.01074559 -0.00064708 ... -0.00075396  0.039513
 -0.00090926]"
C:\Users\yash chaudhary\Desktop\flipkart\my_dataset\my_dataset\20.jpeg,"[-0.04042588 -0.02289219 -0.0199808  ... -0.00986347 -0.00831168
  0.00495689]"
C:\Users\yash chaudhary\Desktop\flipkart\my_dataset\my_dataset\3.jpg,"[-0.03777052 -0.02293323 -0.02641886 ... -0.01819173 -0.00670462
 -0.00203781]"
C:\Users\yash chaudhary\Desktop\flipkart\my_dataset\my_dataset\4.jpg,"[-0.04343156 -0.02428834 -0.02094142 ... -0.00948734 -0.00032413
 -0.00096048]"
C:\Users\yash chaudhary\Desktop\flipkart\my_dataset\my_dataset\5.jpg,"[-0.03928487 -0.02782767 -0.02218764 ... -0.01350927 -0.01148378
 -0.0048827 ]"
C:\Users\yash chaudhary\Desktop\flipkart\my_dataset\my_dataset\6.jpg,"[-0.03932919 -0.02354074 -0.02949883 ... -0.02407678 -0.00188067
 -0.00830954]"
C:\Users\yash chaudhary\Desktop\flipkart\my_dataset\my_dataset\7.jpeg,"[-0.03801294 -0.0266072  -0.0241474  ... -0.01352876 -0.00767056
 -0.00184512]"
C:\Users\yash chaudhary\Desktop\flipkart\my_dataset\my_dataset\8.jpg,"[-0.03814309 -0.02447869 -0.0274193  ... -0.01899109 -0.00877766
 -0.00425011]"
