0,1
C:\Users\yash chaudhary\Desktop\flipkart\static\images\80s fashion t-shirts\\060c9f756a721e347b777fb2e088be5f.jpg,"[-0.04032579 -0.0271714  -0.02495547 ... -0.01198437 -0.01118617
 -0.00730416]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\80s fashion t-shirts\\76cff6a8b84ef29c89b9a09266efc5ab.jpg,"[-0.02034389 -0.01337792 -0.03113203 ... -0.02846675 -0.00055759
 -0.028064  ]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\80s fashion t-shirts\\94ef0839685b83c281eb0ca815e2a221.jpg,"[-0.02996245 -0.0256295  -0.01972507 ... -0.01515891  0.01343059
 -0.01331372]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion 2016 t-shirts\\b9bb84a1f8b70a27df0e07a02b56d1b3--loose-crop-top-chiffon-tops.jpg,"[-0.03343011 -0.0220406  -0.02872729 ... -0.02215845  0.00048225
 -0.01139799]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion accessory t-shirts\\4d05362aa250b0efcdbb56dc34693d09.jpg,"[-0.03828734 -0.02684188 -0.02782935 ... -0.0198005  -0.01219057
 -0.01831558]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion accessory t-shirts\\7246f5074d0c90a65380d92921ce99e9.jpg,"[-0.04080955 -0.02458159 -0.02240871 ... -0.01202301 -0.00250199
 -0.00849197]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion accessory t-shirts\\c6ce98c307a3ce937adceb24e4942c15.jpg,"[-0.03855374 -0.02324296 -0.02181127 ... -0.0132631  -0.00174364
  0.00045809]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion blog t-shirts\\487aba3834ba3c26ee8d21fef2f17865.jpg,"[-0.03434921 -0.02515067 -0.02854749 ... -0.02420213 -0.01545829
 -0.02500676]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion blog t-shirts\\b11a90d8092d0b131e48155693726707.jpg,"[-0.03788875 -0.02836772 -0.02642245 ... -0.0226198  -0.01232065
 -0.01405005]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion blog t-shirts\\ef34700fbce19d28b89c3134ebdee4ca--leaf-stencil-fashion-blogs.jpg,"[-0.01649952 -0.00660959 -0.02408583 ... -0.02288659  0.00512767
 -0.02738754]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion designer games t-shirts\\299bcf19fefa01cca5d4792117468faa.jpg,"[ 0.00785473 -0.01961558 -0.03573307 ... -0.03394882 -0.01175787
 -0.00918398]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion designer games t-shirts\\bd57fadda9ff54bc033c81fb13209e66.jpg,"[-0.02765016 -0.02561362 -0.03320422 ... -0.03083757 -0.01247485
 -0.02482546]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion designer games t-shirts\\d007b08a4300012c4fa504bd3d780b2e.jpg,"[-0.00963715 -0.02469433 -0.03567222 ... -0.03427545 -0.01494947
 -0.01458632]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion designer t-shirts\\87a755e5a46847a84dbf6a5f17b2e493.jpg,"[-0.02831049 -0.02044847 -0.03183951 ... -0.02877354 -0.0135597
 -0.02689846]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion dresses t-shirts\\7347b18edc708f57974768db813d826c.jpg,"[-0.03820441 -0.02798869 -0.0258282  ... -0.01537045 -0.01089017
 -0.00717015]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion illustration t-shirts\\2fd5351ef116af7585c3066ee242adba.jpg,"[-0.03293739 -0.02385607 -0.03232135 ... -0.02555918 -0.0103556
 -0.0234802 ]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion magazine t-shirts\\1c28a1eb1e6327bc5d33d5fb80dd03be.jpg,"[-0.04083046 -0.02581874 -0.02085417 ... -0.00958478 -0.00814433
  0.00215833]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion magazine t-shirts\\e2e274496672e656f0bed38e6fe0d12e--writing-inspiration-mens-style.jpg,"[-0.02641465 -0.02909654 -0.03299957 ... -0.02636488 -0.01634518
 -0.01186397]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion model t-shirts\\144704b0cff39a627a7181d67034e7ec.jpg,"[-0.03605421 -0.02339997 -0.02946245 ... -0.0217828  -0.01220031
 -0.02023467]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion model t-shirts\\3691cb23863fcaffaa1bc3c3bd292a36.jpg,"[-0.03288927 -0.02935945 -0.03011923 ... -0.0218912  -0.01597127
 -0.01543016]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion show t-shirts\\29109d5f5ec838f07126a750716c2003.jpg,"[-0.02586401 -0.02950669 -0.03354125 ... -0.02873909 -0.01170358
 -0.01443592]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion show t-shirts\\eee0f7bdd34189f1b8be7031a7a89ddf.jpg,"[-0.02929602 -0.02973849 -0.03334196 ... -0.02555178 -0.01577603
 -0.00168615]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion show t-shirts\\f0b46d1d1faee234f9f2b4d4ec4a68ec.jpg,"[-0.0397393  -0.02723546 -0.02468012 ... -0.01307004 -0.01083836
 -0.00951671]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion style t-shirts\\e14b130a07704525a5770855dbd183b3.jpg,"[-0.03482464 -0.0277615  -0.0288828  ... -0.02125296 -0.01737334
 -0.01989945]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion trends t-shirts\\487aba3834ba3c26ee8d21fef2f17865.jpg,"[-0.03434921 -0.02515067 -0.02854749 ... -0.02420213 -0.01545829
 -0.02500676]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion trends t-shirts\\87a755e5a46847a84dbf6a5f17b2e493.jpg,"[-0.02831049 -0.02044847 -0.03183951 ... -0.02877354 -0.0135597
 -0.02689846]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion tv t-shirts\\0343b7047124e6613a1a48540bf4ff64.jpg,"[-0.03650933 -0.02698925 -0.02730211 ... -0.01623919 -0.01446109
 -0.01029986]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion week t-shirts\\487aba3834ba3c26ee8d21fef2f17865.jpg,"[-0.03434921 -0.02515067 -0.02854749 ... -0.02420213 -0.01545829
 -0.02500676]"
